segment,coef,se,p,N
business,-0.06021748840361235,0.28962065333600767,0.8352926130985758,3240
cargo,0.11857779103048499,0.27879696151129063,0.6706037625813812,3240
lowcost,-0.07842777977196386,0.3406421675747459,0.8179090970557379,3223
mainline,-0.16460185895167445,0.28462835686496396,0.5630585583593535,3240
other,0.023103817476277932,0.2600459430782808,0.9292049852491964,3240
regional,-0.33079228068734434,0.35436757598402774,0.3505762176440387,3194
