model,var,coef,se,p,N
M1a_fares_twxets,treat_x_ets,-0.010708520770136454,0.004611251467585531,0.020218987396634715,3720
M1b_fares_twxets_ctrend,treat_x_ets,-0.01610452697453956,0.00317503671948095,3.931739485807556e-07,3720
