ets,iso,co2_2019_mt,abate_share,abate_mt
10,AT,3.114972593,-0.0635322122119566,-0.1979010998129047
10,BE,4.879818683,-0.0635322122119566,-0.31002567612422655
10,BG,0.799939346,-0.0635322122119566,-0.05082191628676577
10,CH,5.823362078,-0.0635322122119566,-0.36997107532655654
10,CY,1.051496169,-0.0635322122119566,-0.06680387774896737
10,CZ,1.43947165,-0.0635322122119566,-0.0914528183408953
10,DE,31.089433908,-0.0635322122119566,-1.9751805125926551
10,DK,3.1007603390000003,-0.0635322122119566,-0.1969981638757665
10,EE,0.210027185,-0.0635322122119566,-0.013343491687699868
10,EL,4.430024401,-0.0635322122119566,-0.2814492503484779
10,ES,22.036524182999997,-0.0635322122119566,-1.4000291308082693
10,FI,2.675334307,-0.0635322122119566,-0.16996990693025182
10,FR,22.402052039,-0.0635322122119566,-1.423251924125043
10,GB,37.299134185999996,-0.0635322122119566,-2.3696965084271966
10,HR,0.7095893449999999,-0.0635322122119566,-0.04508178084988328
10,HU,1.102381928,-0.0635322122119566,-0.07003676258832185
10,IE,3.304912457,-0.0635322122119566,-0.20996839956006288
10,IS,0.516600534,-0.0635322122119566,-0.03282077475489809
10,IT,15.106921478,-0.0635322122119566,-0.959776141209661
10,LI,1.767e-06,-0.0635322122119566,-1.122614189785273e-07
10,LT,0.393580497,-0.0635322122119566,-0.025005039657891345
10,LU,1.772959277,-0.0635322122119566,-0.11264002502952114
10,LV,0.494257553,-0.0635322122119566,-0.031401275744558386
10,MT,0.5182756660000001,-0.0635322122119566,-0.032927199596605145
10,NL,11.144285299,-0.0635322122119566,-0.7080210985666562
10,NO,3.113181945,-0.0635322122119566,-0.19778733598417178
10,PL,3.266972499,-0.0635322122119566,-0.20755799009709416
10,PT,5.256608541,-0.0635322122119566,-0.33396396934199557
10,RO,1.4745418529999998,-0.0635322122119566,-0.0936809059202077
10,SE,3.234225659,-0.0635322122119566,-0.20547751090894315
10,SI,0.11661393099999999,-0.0635322122119566,-0.007408741011162463
10,SK,0.190339292,-0.0635322122119566,-0.012092676291617572
20,AT,3.114972593,-0.014905623444981586,-0.046430608512695884
20,BE,4.879818683,-0.014905623444981586,-0.07273673976858397
20,BG,0.799939346,-0.014905623444981586,-0.011923594670300838
20,CH,5.823362078,-0.014905623444981586,-0.08680084231845349
