variant,note,coef,se,p,N
drop_covid,main sample (2010-2019),-0.20745655501455768,0.08255461822992013,0.01197224910881167,415
raw_covid,2020-21 as observed (contaminated),-0.22842720031536023,0.1319492419498017,0.08342059550514684,672
adjusted_covid,2020-21 replaced by COVID-free counterfactual,-0.21505723885462252,0.11772009213487042,0.06772195711317797,672
