iteration,beta_perm
0,0.003909514398679287
1,0.039735503046089624
2,0.024681200159421657
3,0.009518339848225532
4,0.11934640112692757
5,0.004504738847167511
6,-0.002914887320161541
7,-0.047090800501323554
8,0.06777791449339018
9,0.004906268711403733
10,-0.13951469182841808
11,-0.02997441737098744
12,0.08514999257905154
13,0.054231965842836904
14,0.04042273327037005
15,0.10728118128106084
16,-0.0373221950285193
17,0.09402621951548001
18,-4.384976532739726e-05
19,-0.02131451122301678
20,0.04809358207376267
21,-0.0008173221341026826
22,0.11759114255256459
23,0.02564048744096492
24,0.0016150396155759361
25,-0.08115177569003368
26,0.0693920465146245
27,0.0463883516915346
28,0.04656049593410691
29,0.01098276470589743
30,0.05544270933616033
31,-0.08177622034340704
32,0.021949279090788087
33,-0.0701364806296064
34,-0.010421582406593327
35,-0.013758652389451509
36,0.09034332331706701
37,-0.14630800487056142
38,0.015675033548885747
39,-0.021884056700973847
40,-0.03744021105337292
41,0.006857117578676797
42,0.1540757992339748
43,0.006956415806070232
44,-0.0983026610993803
45,-0.002269550690222666
46,0.07033477684581926
47,0.008528241756722565
48,-0.04686936226247909
49,0.013438629955821763
50,0.10276500250401849
51,0.06265598997200653
52,0.039616825322737775
53,-0.10214977174855389
54,0.0010107133183265282
55,-0.004984468837332556
56,-0.06192969842647075
57,0.10886881636705237
58,-0.006040555724870306
59,0.11769794631929248
60,0.06618166693983729
61,-0.07457706146473908
62,0.10272321361821582
63,-0.024034094394958738
64,-0.13342131369386184
65,-0.01255990674676083
66,0.0014408190529302534
67,0.057079001323698364
68,0.0025062649658458835
69,-0.06767678080658696
70,0.03271616982836556
71,0.03396984077492626
72,0.05533973581382165
73,0.01898306723880583
74,0.05891181863964082
75,0.05694880213258574
76,0.0141256979564785
77,0.03431561464116056
78,-0.03393626485424947
79,0.0606310699677127
80,0.049490398812861824
81,0.06437099713743982
82,-0.059080545121119876
83,-0.04253965363914222
84,-0.02529555105442935
85,-0.09556289397220294
86,-0.04906304579979051
87,-0.19257557703401054
88,-0.013095223228141079
89,0.042352919410649725
90,-8.67440092782168e-05
91,-0.11960188438805996
92,0.03129100177350652
93,0.04946010268909409
94,-0.03427514631404299
95,0.041388533881811795
96,-0.05274979789220113
97,0.04076018346458904
98,0.026147553427106368
99,-0.06957242882630923
100,-0.004534015827073551
101,-0.040777366766249296
102,-0.03728043256039712
