model,outcome,coef,se,p,lo,hi,N,n_units
N1a_original,ln_co2,-0.20745655501455768,0.08255461822992013,0.01197224910881167,-0.3692606335026549,-0.04565247652646043,415,43
N1b_plus_scale,ln_co2,-0.20743757683549047,0.08261456125582665,0.012042101786380223,-0.3693591414954889,-0.04551601217549209,406,41
N1c_scale_trend,ln_co2,-0.19491724403932137,0.08224432996263394,0.017789148762773547,-0.35611316869871235,-0.03372131937993039,390,39
