model,outcome,coef,se,p,lo,hi,N,n_units,equiv_margin,z_low,z_high,p_equiv,verdict
N1a_original,ln_co2,-0.20745655501455768,0.08255461822992013,0.01197224910881167,-0.3692606335026549,-0.04565247652646043,415,43,0.03,-2.1495654491470035,-2.8763570119508675,0.9842051980741003,not conclusive
N1b_plus_scale,ln_co2,-0.20743757683549047,0.08261456125582665,0.012042101786380223,-0.3693591414954889,-0.04551601217549209,406,41,0.03,-2.147776059549988,-2.874040280868095,0.984134225127016,not conclusive
N1c_scale_trend,ln_co2,-0.19491724403932137,0.08224432996263394,0.017789148762773547,-0.35611316869871235,-0.03372131937993039,390,39,0.03,-2.0052111083432527,-2.7347446826001014,0.9775297584849115,not conclusive
