outcome,event_time,coef,se,p,lo,hi
ln_co2,-2,0.009214073723417204,0.03492115627621165,0.7918927103501515,-0.0592301348764525,0.0776582823232869
ln_co2,0,-0.09253462253313081,0.08442133861319792,0.2730329762080086,-0.25799740574165936,0.07292816067539772
ln_co2,1,-0.16995143836947893,0.07852889167401773,0.030449774064442815,-0.323865237796401,-0.01603763894255686
ln_co2,2,-0.1910401484874979,0.09422688153076708,0.042616567429328636,-0.37572144266332375,-0.006358854311672019
ln_co2,3,-0.17754730835623184,0.09906677592259537,0.07310120533419714,-0.37171462122901855,0.016620004516554876
ln_co2,4,-0.20836111891871356,0.10662538663826127,0.05068445661359529,-0.41734303656736393,0.0006207987299368389
ln_co2,5,-0.2366758418692534,0.1150085533280423,0.03959995083069125,-0.4620884643062705,-0.011263219432236293
ln_co2,6,-0.2449801676471972,0.1195810475292237,0.04049597965884036,-0.4793547140380481,-0.010605621256346343
ln_co2,7,-0.30183433939841176,0.11259314265829225,0.007345684113956478,-0.522512843914845,-0.08115583488197856
ln_flights,-2,0.04788860502686752,0.04718212675514103,0.31011849314450946,-0.044586664127212586,0.14036387418094765
ln_flights,0,-0.017621849568574252,0.02438885998713257,0.46996449053476563,-0.0654231367673441,0.030179437630195587
ln_flights,1,-0.0813259824188549,0.04654427791375341,0.08058842110256709,-0.17255109081623465,0.009899125978524867
ln_flights,2,-0.06549555607505544,0.07043664745712708,0.35244846413995456,-0.20354884828276928,0.0725577361326584
ln_flights,3,-0.06093465831194875,0.08592542728783134,0.4782267648569086,-0.22934540115231336,0.10747608452841587
ln_flights,4,-0.08122421493773793,0.08334585487548646,0.3297864310122115,-0.24457908875439346,0.0821306588789176
ln_flights,5,-0.1009144550510851,0.0973984353438468,0.3001557978362266,-0.29181188047557793,0.08998297037340772
ln_flights,6,-0.10610892598480459,0.10467432985925268,0.31072338050535353,-0.3112668426148054,0.09904899064519623
ln_flights,7,-0.1655681678844383,0.0903235574512217,0.0667941959032363,-0.3425990874443673,0.011462751675490684
ln_intensity,-2,-0.03867453130345147,0.03880429698009477,0.3189315652592365,-0.1147295558298336,0.03738049322293066
ln_intensity,0,-0.07491277296455628,0.08658958785573133,0.3869577888851472,-0.24462524659795654,0.09479970066884397
ln_intensity,1,-0.08862545595062353,0.08401657665157919,0.2914908291416106,-0.25329492029206757,0.0760440083908205
ln_intensity,2,-0.12554459241244023,0.08740598240750361,0.15090599583220074,-0.29685716996448885,0.04576798513960839
ln_intensity,3,-0.1166126500442829,0.07997405435151275,0.14480443054389378,-0.2733589162708967,0.04013361618233088
ln_intensity,4,-0.12713690398097846,0.0845170556838863,0.1325105428161175,-0.2927872892007619,0.038513481238804964
ln_intensity,5,-0.1357613868181689,0.08600108891442622,0.11442765357498719,-0.30432042372167123,0.03279765008533339
ln_intensity,6,-0.13887124166239534,0.08928394612008561,0.11985352163443688,-0.3138645604553778,0.036122077130587155
ln_intensity,7,-0.13626617151397302,0.08946860042753071,0.1277433456689859,-0.31162140609913813,0.03908906307119206
