year,country_code,citl_information,value,unit,version
2020,DE,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),38712,units,81
2020,DE,1.1.4 Swiss Free Allocated allowances for aircraft operators,40059,units,81
2021,DE,1.1.4 Swiss Free Allocated allowances for aircraft operators,39160,units,81
2012,DE,1.2 Correction to freely allocated allowances (not reflected in EUTL),-29248597.24302685,units,81
2012,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),2500000,units,81
2013,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2015,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),2229000,units,81
2016,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),857500,units,81
2017,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),675500,units,81
2018,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),800500,units,81
2019,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),801500,units,81
2020,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),769000,units,81
2021,DE,1.3 Allowances auctioned or sold (EUAs and EUAAs),600000,units,81
2012,DE,2. Verified emissions,15930455,tonne of CO2 equ.,81
2013,DE,2. Verified emissions,8828355,tonne of CO2 equ.,81
2014,DE,2. Verified emissions,9010317,tonne of CO2 equ.,81
2015,DE,2. Verified emissions,9084128,tonne of CO2 equ.,81
2016,DE,2. Verified emissions,9437775,tonne of CO2 equ.,81
2017,DE,2. Verified emissions,9260447,tonne of CO2 equ.,81
2018,DE,2. Verified emissions,9531112,tonne of CO2 equ.,81
2019,DE,2. Verified emissions,9141580,tonne of CO2 equ.,81
2020,DE,2. Verified emissions,3960110,tonne of CO2 equ.,81
2021,DE,2. Verified emissions,4690705,tonne of CO2 equ.,81
2012,DE,2.1 EU-ETS Verified Emission,15930455,tonne of CO2 equ.,81
2013,DE,2.1 EU-ETS Verified Emission,8828355,tonne of CO2 equ.,81
2014,DE,2.1 EU-ETS Verified Emission,9010317,tonne of CO2 equ.,81
2015,DE,2.1 EU-ETS Verified Emission,9084128,tonne of CO2 equ.,81
2016,DE,2.1 EU-ETS Verified Emission,9437775,tonne of CO2 equ.,81
2017,DE,2.1 EU-ETS Verified Emission,9260447,tonne of CO2 equ.,81
2018,DE,2.1 EU-ETS Verified Emission,9531112,tonne of CO2 equ.,81
2019,DE,2.1 EU-ETS Verified Emission,9141580,tonne of CO2 equ.,81
2020,DE,2.1 EU-ETS Verified Emission,3928269,tonne of CO2 equ.,81
2021,DE,2.1 EU-ETS Verified Emission,4654643,tonne of CO2 equ.,81
2020,DE,2.2 Swiss Verified Emissions for aircraft operators,31841,tonne of CO2 equ.,81
2021,DE,2.2 Swiss Verified Emissions for aircraft operators,36062,tonne of CO2 equ.,81
2012,DE,4. Total surrendered units,15812442,units,81
2013,DE,4. Total surrendered units,44646,units,81
2014,DE,4. Total surrendered units,17859178,units,81
2015,DE,4. Total surrendered units,9085458,units,81
2016,DE,4. Total surrendered units,9463535,units,81
2017,DE,4. Total surrendered units,8450361,units,81
2018,DE,4. Total surrendered units,9174011,units,81
2019,DE,4. Total surrendered units,9144858,units,81
2020,DE,4. Total surrendered units,3958481,units,81
2021,DE,4. Total surrendered units,4697153,units,81
2012,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),14050343,units,81
2013,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),44646,units,81
2014,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),17859178,units,81
2015,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),9085458,units,81
2016,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),9463535,units,81
2017,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),8450361,units,81
2018,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),9174011,units,81
2019,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),9144858,units,81
2020,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),3918452,units,81
2021,DE,4.1 Surrendered EU allowances (EUAs and EUAAs),4656051,units,81
2012,DE,4.2 Surrendered certified emission reductions (CERs),504562,units,81
2012,DE,4.3 Surrendered emission reduction units (ERUs),1257537,units,81
2020,DE,4.4 Surrendered Units CHU/CHUAA,40029,units,81
2021,DE,4.4 Surrendered Units CHU/CHUAA,41102,units,81
2012,DK,1. Total allocated allowances (EUA or EUAA),1045920.279378825,units,81
2013,DK,1. Total allocated allowances (EUA or EUAA),369187,units,81
2014,DK,1. Total allocated allowances (EUA or EUAA),562677,units,81
2015,DK,1. Total allocated allowances (EUA or EUAA),754686,units,81
2016,DK,1. Total allocated allowances (EUA or EUAA),509686,units,81
2017,DK,1. Total allocated allowances (EUA or EUAA),488946,units,81
2018,DK,1. Total allocated allowances (EUA or EUAA),465297,units,81
2019,DK,1. Total allocated allowances (EUA or EUAA),465297,units,81
2020,DK,1. Total allocated allowances (EUA or EUAA),453927,units,81
2021,DK,1. Total allocated allowances (EUA or EUAA),404754,units,81
2012,DK,1.1 Freely allocated allowances,1074189,units,81
2013,DK,1.1 Freely allocated allowances,369187,units,81
2014,DK,1.1 Freely allocated allowances,369177,units,81
2015,DK,1.1 Freely allocated allowances,369186,units,81
2016,DK,1.1 Freely allocated allowances,369186,units,81
2017,DK,1.1 Freely allocated allowances,377946,units,81
2018,DK,1.1 Freely allocated allowances,333797,units,81
2019,DK,1.1 Freely allocated allowances,333797,units,81
2020,DK,1.1 Freely allocated allowances,327927,units,81
2021,DK,1.1 Freely allocated allowances,306754,units,81
2012,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),1074189,units,81
2013,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),369187,units,81
2014,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),369177,units,81
2015,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),369186,units,81
2016,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),369186,units,81
2017,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),369186,units,81
2018,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),325137,units,81
2019,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),325137,units,81
2020,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),319243,units,81
2021,DK,1.1.1 Free allocation to existing entities (Art. 10a(1)),306733,units,81
2017,DK,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),8760,units,81
2018,DK,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),8660,units,81
2019,DK,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),8660,units,81
2020,DK,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),8660,units,81
2020,DK,1.1.4 Swiss Free Allocated allowances for aircraft operators,24,units,81
2021,DK,1.1.4 Swiss Free Allocated allowances for aircraft operators,21,units,81
2012,DK,1.2 Correction to freely allocated allowances (not reflected in EUTL),-28268.72062117467,units,81
2012,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),193500,units,81
2015,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),385500,units,81
2016,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),140500,units,81
2017,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),111000,units,81
2018,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),131500,units,81
2019,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),131500,units,81
2020,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),126000,units,81
2021,DK,1.3 Allowances auctioned or sold (EUAs and EUAAs),98000,units,81
2012,DK,2. Verified emissions,1277015,tonne of CO2 equ.,81
2013,DK,2. Verified emissions,560393,tonne of CO2 equ.,81
2014,DK,2. Verified emissions,572174,tonne of CO2 equ.,81
2015,DK,2. Verified emissions,532135,tonne of CO2 equ.,81
2016,DK,2. Verified emissions,558122,tonne of CO2 equ.,81
2017,DK,2. Verified emissions,604757,tonne of CO2 equ.,81
2018,DK,2. Verified emissions,547262,tonne of CO2 equ.,81
2019,DK,2. Verified emissions,560180,tonne of CO2 equ.,81
2020,DK,2. Verified emissions,207465,tonne of CO2 equ.,81
2021,DK,2. Verified emissions,261064,tonne of CO2 equ.,81
2012,DK,2.1 EU-ETS Verified Emission,1277015,tonne of CO2 equ.,81
2013,DK,2.1 EU-ETS Verified Emission,560393,tonne of CO2 equ.,81
2014,DK,2.1 EU-ETS Verified Emission,572174,tonne of CO2 equ.,81
2015,DK,2.1 EU-ETS Verified Emission,532135,tonne of CO2 equ.,81
2016,DK,2.1 EU-ETS Verified Emission,558122,tonne of CO2 equ.,81
2017,DK,2.1 EU-ETS Verified Emission,604757,tonne of CO2 equ.,81
2018,DK,2.1 EU-ETS Verified Emission,547262,tonne of CO2 equ.,81
2019,DK,2.1 EU-ETS Verified Emission,560180,tonne of CO2 equ.,81
2020,DK,2.1 EU-ETS Verified Emission,206961,tonne of CO2 equ.,81
2021,DK,2.1 EU-ETS Verified Emission,260291,tonne of CO2 equ.,81
2020,DK,2.2 Swiss Verified Emissions for aircraft operators,504,tonne of CO2 equ.,81
2021,DK,2.2 Swiss Verified Emissions for aircraft operators,773,tonne of CO2 equ.,81
2012,DK,4. Total surrendered units,1276792,units,81
2013,DK,4. Total surrendered units,32,units,81
2014,DK,4. Total surrendered units,1134634,units,81
2015,DK,4. Total surrendered units,535066,units,81
2016,DK,4. Total surrendered units,557047,units,81
2017,DK,4. Total surrendered units,603360,units,81
2018,DK,4. Total surrendered units,548641,units,81
2019,DK,4. Total surrendered units,561587,units,81
2020,DK,4. Total surrendered units,202872,units,81
2021,DK,4. Total surrendered units,262014,units,81
2012,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),1098821,units,81
2013,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),32,units,81
2014,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),1134634,units,81
2015,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),535066,units,81
2016,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),557047,units,81
2017,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),603360,units,81
2018,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),548641,units,81
2019,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),561587,units,81
2020,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),202848,units,81
2021,DK,4.1 Surrendered EU allowances (EUAs and EUAAs),261973,units,81
2012,DK,4.2 Surrendered certified emission reductions (CERs),55545,units,81
2012,DK,4.3 Surrendered emission reduction units (ERUs),122426,units,81
2020,DK,4.4 Surrendered Units CHU/CHUAA,24,units,81
2021,DK,4.4 Surrendered Units CHU/CHUAA,41,units,81
2012,EE,1. Total allocated allowances (EUA or EUAA),35249.30626355165,units,81
2013,EE,1. Total allocated allowances (EUA or EUAA),33304,units,81
2014,EE,1. Total allocated allowances (EUA or EUAA),39804,units,81
2015,EE,1. Total allocated allowances (EUA or EUAA),54448,units,81
2016,EE,1. Total allocated allowances (EUA or EUAA),8000,units,81
2017,EE,1. Total allocated allowances (EUA or EUAA),26278,units,81
2018,EE,1. Total allocated allowances (EUA or EUAA),27278,units,81
2019,EE,1. Total allocated allowances (EUA or EUAA),27778,units,81
2020,EE,1. Total allocated allowances (EUA or EUAA),7000,units,81
2021,EE,1. Total allocated allowances (EUA or EUAA),20216,units,81
2012,EE,1.1 Freely allocated allowances,58429,units,81
2013,EE,1.1 Freely allocated allowances,33304,units,81
2014,EE,1.1 Freely allocated allowances,33304,units,81
2015,EE,1.1 Freely allocated allowances,32448,units,81
2017,EE,1.1 Freely allocated allowances,19778,units,81
2018,EE,1.1 Freely allocated allowances,19778,units,81
2019,EE,1.1 Freely allocated allowances,19778,units,81
2021,EE,1.1 Freely allocated allowances,9716,units,81
2012,EE,1.1.1 Free allocation to existing entities (Art. 10a(1)),58429,units,81
2013,EE,1.1.1 Free allocation to existing entities (Art. 10a(1)),33304,units,81
2014,EE,1.1.1 Free allocation to existing entities (Art. 10a(1)),33304,units,81
2015,EE,1.1.1 Free allocation to existing entities (Art. 10a(1)),32448,units,81
2021,EE,1.1.1 Free allocation to existing entities (Art. 10a(1)),9716,units,81
2017,EE,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),19778,units,81
2018,EE,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),19778,units,81
2019,EE,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),19778,units,81
2012,EE,1.2 Correction to freely allocated allowances (not reflected in EUTL),-23179.69373644835,units,81
2012,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),6500,units,81
2015,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),22000,units,81
2016,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),8000,units,81
2017,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),6500,units,81
2018,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),7500,units,81
2019,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),8000,units,81
2020,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),7000,units,81
2021,EE,1.3 Allowances auctioned or sold (EUAs and EUAAs),10500,units,81
2012,EE,2. Verified emissions,92713,tonne of CO2 equ.,81
2013,EE,2. Verified emissions,74763,tonne of CO2 equ.,81
2014,EE,2. Verified emissions,76098,tonne of CO2 equ.,81
2015,EE,2. Verified emissions,72986,tonne of CO2 equ.,81
2016,EE,2. Verified emissions,15149,tonne of CO2 equ.,81
2017,EE,2. Verified emissions,32360,tonne of CO2 equ.,81
2018,EE,2. Verified emissions,36181,tonne of CO2 equ.,81
2019,EE,2. Verified emissions,28397,tonne of CO2 equ.,81
2021,EE,2. Verified emissions,9525,tonne of CO2 equ.,81
2012,EE,2.1 EU-ETS Verified Emission,92713,tonne of CO2 equ.,81
2013,EE,2.1 EU-ETS Verified Emission,74763,tonne of CO2 equ.,81
2014,EE,2.1 EU-ETS Verified Emission,76098,tonne of CO2 equ.,81
2015,EE,2.1 EU-ETS Verified Emission,72986,tonne of CO2 equ.,81
2016,EE,2.1 EU-ETS Verified Emission,15149,tonne of CO2 equ.,81
2017,EE,2.1 EU-ETS Verified Emission,32360,tonne of CO2 equ.,81
2018,EE,2.1 EU-ETS Verified Emission,36181,tonne of CO2 equ.,81
2019,EE,2.1 EU-ETS Verified Emission,28397,tonne of CO2 equ.,81
2021,EE,2.1 EU-ETS Verified Emission,9525,tonne of CO2 equ.,81
2012,EE,4. Total surrendered units,86394,units,81
2013,EE,4. Total surrendered units,6319,units,81
2014,EE,4. Total surrendered units,150861,units,81
2015,EE,4. Total surrendered units,72986,units,81
2016,EE,4. Total surrendered units,15149,units,81
2017,EE,4. Total surrendered units,32360,units,81
2018,EE,4. Total surrendered units,36181,units,81
2019,EE,4. Total surrendered units,28397,units,81
2021,EE,4. Total surrendered units,9525,units,81
2012,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),78587,units,81
2013,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),6319,units,81
2014,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),150861,units,81
2015,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),72986,units,81
2016,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),15149,units,81
2017,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),32360,units,81
2018,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),36181,units,81
2019,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),28397,units,81
2021,EE,4.1 Surrendered EU allowances (EUAs and EUAAs),9525,units,81
2012,EE,4.2 Surrendered certified emission reductions (CERs),7187,units,81
2012,EE,4.3 Surrendered emission reduction units (ERUs),620,units,81
2012,ES,1. Total allocated allowances (EUA or EUAA),6663551.334596867,units,81
2013,ES,1. Total allocated allowances (EUA or EUAA),2981138,units,81
2014,ES,1. Total allocated allowances (EUA or EUAA),4021705,units,81
2015,ES,1. Total allocated allowances (EUA or EUAA),5244195,units,81
2016,ES,1. Total allocated allowances (EUA or EUAA),3772417,units,81
2017,ES,1. Total allocated allowances (EUA or EUAA),4138400,units,81
2018,ES,1. Total allocated allowances (EUA or EUAA),4245247,units,81
2019,ES,1. Total allocated allowances (EUA or EUAA),5367410,units,81
2020,ES,1. Total allocated allowances (EUA or EUAA),5543399,units,81
2021,ES,1. Total allocated allowances (EUA or EUAA),3187584,units,81
2012,ES,1.1 Freely allocated allowances,12349608,units,81
2013,ES,1.1 Freely allocated allowances,2981138,units,81
2014,ES,1.1 Freely allocated allowances,2928705,units,81
2015,ES,1.1 Freely allocated allowances,2924695,units,81
2016,ES,1.1 Freely allocated allowances,2924917,units,81
2017,ES,1.1 Freely allocated allowances,3469900,units,81
2018,ES,1.1 Freely allocated allowances,3453247,units,81
2019,ES,1.1 Freely allocated allowances,4574910,units,81
2020,ES,1.1 Freely allocated allowances,4782899,units,81
2021,ES,1.1 Freely allocated allowances,2624084,units,81
2012,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),12349608,units,81
2013,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2981138,units,81
2014,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2928705,units,81
2015,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2924695,units,81
2016,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2924917,units,81
2017,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2941292,units,81
2018,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2924639,units,81
2019,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),4046302,units,81
2020,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),4123076,units,81
2021,ES,1.1.1 Free allocation to existing entities (Art. 10a(1)),2313972,units,81
2017,ES,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),528608,units,81
2018,ES,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),528608,units,81
2019,ES,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),528608,units,81
2020,ES,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),529435,units,81
2021,ES,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),255690,units,81
2020,ES,1.1.4 Swiss Free Allocated allowances for aircraft operators,130388,units,81
2021,ES,1.1.4 Swiss Free Allocated allowances for aircraft operators,54422,units,81
2012,ES,1.2 Correction to freely allocated allowances (not reflected in EUTL),-5686056.665403133,units,81
2012,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),1093000,units,81
2015,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),2319500,units,81
2016,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),847500,units,81
2017,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),668500,units,81
2018,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),792000,units,81
2019,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),792500,units,81
2020,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),760500,units,81
2021,ES,1.3 Allowances auctioned or sold (EUAs and EUAAs),563500,units,81
2012,ES,2. Verified emissions,7727464,tonne of CO2 equ.,81
2013,ES,2. Verified emissions,4737554,tonne of CO2 equ.,81
2014,ES,2. Verified emissions,5229792,tonne of CO2 equ.,81
2015,ES,2. Verified emissions,5766364,tonne of CO2 equ.,81
2016,ES,2. Verified emissions,6397562,tonne of CO2 equ.,81
2017,ES,2. Verified emissions,6783431,tonne of CO2 equ.,81
2018,ES,2. Verified emissions,10755645,tonne of CO2 equ.,81
2019,ES,2. Verified emissions,11959842,tonne of CO2 equ.,81
2020,ES,2. Verified emissions,3420378,tonne of CO2 equ.,81
2021,ES,2. Verified emissions,3354009,tonne of CO2 equ.,81
2012,ES,2.1 EU-ETS Verified Emission,7727464,tonne of CO2 equ.,81
2013,ES,2.1 EU-ETS Verified Emission,4737554,tonne of CO2 equ.,81
2014,ES,2.1 EU-ETS Verified Emission,5229792,tonne of CO2 equ.,81
2015,ES,2.1 EU-ETS Verified Emission,5766364,tonne of CO2 equ.,81
2016,ES,2.1 EU-ETS Verified Emission,6397562,tonne of CO2 equ.,81
2017,ES,2.1 EU-ETS Verified Emission,6783431,tonne of CO2 equ.,81
2018,ES,2.1 EU-ETS Verified Emission,10755645,tonne of CO2 equ.,81
2019,ES,2.1 EU-ETS Verified Emission,11959842,tonne of CO2 equ.,81
2020,ES,2.1 EU-ETS Verified Emission,3359257,tonne of CO2 equ.,81
2021,ES,2.1 EU-ETS Verified Emission,3315608,tonne of CO2 equ.,81
2020,ES,2.2 Swiss Verified Emissions for aircraft operators,61121,tonne of CO2 equ.,81
2021,ES,2.2 Swiss Verified Emissions for aircraft operators,38401,tonne of CO2 equ.,81
2012,ES,4. Total surrendered units,7723643,units,81
2013,ES,4. Total surrendered units,3126,units,81
2014,ES,4. Total surrendered units,9966829,units,81
2015,ES,4. Total surrendered units,5767789,units,81
2016,ES,4. Total surrendered units,6397344,units,81
2017,ES,4. Total surrendered units,6782639,units,81
2018,ES,4. Total surrendered units,10755189,units,81
2019,ES,4. Total surrendered units,11573655,units,81
2020,ES,4. Total surrendered units,3526599,units,81
2021,ES,4. Total surrendered units,3633173,units,81
2012,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),6811227,units,81
2013,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),3126,units,81
2014,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),9966829,units,81
2015,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),5767789,units,81
2016,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),6397344,units,81
2017,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),6782639,units,81
2018,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),10755189,units,81
2019,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),11573655,units,81
2020,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),3419628,units,81
2021,ES,4.1 Surrendered EU allowances (EUAs and EUAAs),3560231,units,81
2012,ES,4.2 Surrendered certified emission reductions (CERs),586082,units,81
2012,ES,4.3 Surrendered emission reduction units (ERUs),326334,units,81
2020,ES,4.4 Surrendered Units CHU/CHUAA,106971,units,81
2021,ES,4.4 Surrendered Units CHU/CHUAA,72942,units,81
2012,FI,1. Total allocated allowances (EUA or EUAA),782944.8088470884,units,81
2013,FI,1. Total allocated allowances (EUA or EUAA),493048,units,81
2014,FI,1. Total allocated allowances (EUA or EUAA),628548,units,81
2015,FI,1. Total allocated allowances (EUA or EUAA),795548,units,81
2016,FI,1. Total allocated allowances (EUA or EUAA),576079,units,81
2017,FI,1. Total allocated allowances (EUA or EUAA),580048,units,81
2018,FI,1. Total allocated allowances (EUA or EUAA),596548,units,81
2019,FI,1. Total allocated allowances (EUA or EUAA),596048,units,81
2020,FI,1. Total allocated allowances (EUA or EUAA),623022,units,81
2021,FI,1. Total allocated allowances (EUA or EUAA),566809,units,81
2012,FI,1.1 Freely allocated allowances,2109689,units,81
2013,FI,1.1 Freely allocated allowances,493048,units,81
2014,FI,1.1 Freely allocated allowances,493048,units,81
2015,FI,1.1 Freely allocated allowances,493048,units,81
2016,FI,1.1 Freely allocated allowances,465579,units,81
2017,FI,1.1 Freely allocated allowances,493048,units,81
2018,FI,1.1 Freely allocated allowances,493048,units,81
2019,FI,1.1 Freely allocated allowances,493048,units,81
2020,FI,1.1 Freely allocated allowances,523522,units,81
2021,FI,1.1 Freely allocated allowances,485809,units,81
2012,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),2109689,units,81
2013,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),493048,units,81
2014,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),493048,units,81
2015,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),493048,units,81
2016,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),465579,units,81
2017,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),493048,units,81
2018,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),493048,units,81
2019,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),493048,units,81
2020,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),504434,units,81
2021,FI,1.1.1 Free allocation to existing entities (Art. 10a(1)),467141,units,81
2020,FI,1.1.4 Swiss Free Allocated allowances for aircraft operators,19088,units,81
2021,FI,1.1.4 Swiss Free Allocated allowances for aircraft operators,18668,units,81
2012,FI,1.2 Correction to freely allocated allowances (not reflected in EUTL),-1326744.191152912,units,81
2012,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2013,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),0,units,81
2014,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),135500,units,81
2015,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),302500,units,81
2016,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),110500,units,81
2017,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),87000,units,81
2018,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),103500,units,81
2019,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),103000,units,81
2020,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),99500,units,81
2021,FI,1.3 Allowances auctioned or sold (EUAs and EUAAs),81000,units,81
2012,FI,2. Verified emissions,1186065,tonne of CO2 equ.,81
2013,FI,2. Verified emissions,893377,tonne of CO2 equ.,81
2014,FI,2. Verified emissions,914529,tonne of CO2 equ.,81
2015,FI,2. Verified emissions,952946,tonne of CO2 equ.,81
2016,FI,2. Verified emissions,988867,tonne of CO2 equ.,81
2017,FI,2. Verified emissions,1051966,tonne of CO2 equ.,81
2018,FI,2. Verified emissions,1170188,tonne of CO2 equ.,81
2019,FI,2. Verified emissions,1252207,tonne of CO2 equ.,81
2020,FI,2. Verified emissions,400826,tonne of CO2 equ.,81
2021,FI,2. Verified emissions,340437,tonne of CO2 equ.,81
2012,FI,2.1 EU-ETS Verified Emission,1186065,tonne of CO2 equ.,81
2013,FI,2.1 EU-ETS Verified Emission,893377,tonne of CO2 equ.,81
2014,FI,2.1 EU-ETS Verified Emission,914529,tonne of CO2 equ.,81
2015,FI,2.1 EU-ETS Verified Emission,952946,tonne of CO2 equ.,81
2016,FI,2.1 EU-ETS Verified Emission,988867,tonne of CO2 equ.,81
2017,FI,2.1 EU-ETS Verified Emission,1051966,tonne of CO2 equ.,81
2018,FI,2.1 EU-ETS Verified Emission,1170188,tonne of CO2 equ.,81
2019,FI,2.1 EU-ETS Verified Emission,1252207,tonne of CO2 equ.,81
2020,FI,2.1 EU-ETS Verified Emission,390484,tonne of CO2 equ.,81
2021,FI,2.1 EU-ETS Verified Emission,330540,tonne of CO2 equ.,81
2020,FI,2.2 Swiss Verified Emissions for aircraft operators,10342,tonne of CO2 equ.,81
2021,FI,2.2 Swiss Verified Emissions for aircraft operators,9897,tonne of CO2 equ.,81
2012,FI,4. Total surrendered units,1186013,units,81
2014,FI,4. Total surrendered units,1807894,units,81
2015,FI,4. Total surrendered units,952958,units,81
2016,FI,4. Total surrendered units,988868,units,81
2017,FI,4. Total surrendered units,1051965,units,81
2018,FI,4. Total surrendered units,1170188,units,81
2019,FI,4. Total surrendered units,1252207,units,81
2020,FI,4. Total surrendered units,400826,units,81
