iso,business,cargo,lowcost,mainline,other,regional
AL,0.012738970019483238,0.05903734697348116,0.30364151566800496,0.5176730145086541,0.09001201244199013,0.016897140388386484
AM,0.0067562151740563625,0.1431171840670548,0.07388539088789428,0.6983155443403235,0.05539087358101949,0.022534791949651693
AT,0.018395393062299238,0.06106456083762437,0.2713274457183759,0.530038048574191,0.04380101236442666,0.0753735394430828
AZ,0.011530277634847937,0.40969251121220923,0.02401764744840516,0.49695364148440996,0.056908266212913956,0.000897656007213853
BA,0.011150921593172089,0.05932041335641125,0.34679113594839706,0.49047588503712747,0.06547846575858692,0.026783178306305104
BE,0.014204052899209799,0.17146263987221194,0.26810845566417546,0.4656543271351484,0.031189550729532438,0.04938097369972196
BG,0.006548506729108845,0.06733328076642553,0.13732813019333193,0.6869899696647479,0.0941636448600791,0.007636467786306665
CH,0.03719147432728347,0.031863246603215135,0.2659179157901272,0.5513918207732889,0.024876773102921246,0.0887587694031641
CY,0.013920444150065723,0.050145575623468226,0.16294561270860908,0.5750517732412207,0.1844351053205665,0.013501488956069733
CZ,0.012177117868390484,0.07900337460933138,0.25432328319062764,0.5369221267289799,0.07521809276473838,0.042356004837932296
DE,0.014163865249968993,0.09971810886023218,0.2926754245809031,0.4914716517527081,0.04048759575154304,0.06148335380464449
DK,0.010636824101043696,0.0452638854634641,0.24897699125612793,0.5442314937465462,0.05550384553673013,0.09538695989608803
EE,0.00829923805913528,0.09817553671230318,0.0828329158184229,0.6929563590590075,0.05212029232440271,0.06561565802672834
ES,0.012828280606181767,0.026275655865111793,0.4848862678532015,0.3812230927213573,0.04195031023129153,0.05283639272285612
FI,0.010027293762206499,0.048281895747634904,0.09479580797472838,0.6922745676561656,0.032601003010250554,0.12201943184901416
FR,0.022148405873540066,0.0441486925090747,0.40382596274415355,0.4486194672920186,0.03707786194039962,0.044179609640813494
GB,0.015112788591508127,0.060520714341681804,0.2856123609953959,0.5771709563359133,0.03177994195596644,0.029803237779534333
GE,0.006878765607052165,0.07763110217218772,0.1732685359187751,0.6333015727712961,0.05020075902608767,0.05871926450460125
GR,0.016608015596869558,0.0603200322976521,0.2435507162967544,0.531593805108125,0.11960444598221104,0.028322984718387765
HR,0.01566032525478473,0.0444189524668287,0.3472152438336998,0.49834385439427864,0.06132924004480027,0.033032384005607845
HU,0.00797392638792706,0.07704416966802385,0.22912789677755507,0.5844268823035084,0.07626777287641566,0.02515935198657011
IE,0.01317608731887751,0.07987327080079046,0.1662287476447878,0.6951059421528141,0.027545404503774826,0.018070547578955452
IL,0.012942356820754293,0.0675907615542458,0.1725264908622497,0.6198676524313809,0.10620634039584657,0.020866397935522807
IS,0.010741860744070356,0.005524024772883668,0.02488020757706804,0.8988377451877853,0.05999090903351664,2.525268467603963e-05
IT,0.02174293392463522,0.04158522495523578,0.39644927786406986,0.4492116270030061,0.05086592314470664,0.04014501310834639
LT,0.011023768808505528,0.11404418137136094,0.2431616334477372,0.46685498898280764,0.08739151028969036,0.07752391709989835
LU,0.018743427381340605,0.28189198102786045,0.25543866325915887,0.33097637722519885,0.017250851152686937,0.09569869995375442
LV,0.012362672621105747,0.08964509555783284,0.22584933045993683,0.5840011190457137,0.04975061975676501,0.03839116255864583
MA,0.00872401376478196,0.01725971056033354,0.4934445272778721,0.4117376276253394,0.05326909554155139,0.015565025230121661
MD,0.014801358875153341,0.023621779748985557,0.21786354628668492,0.4445833726526375,0.17599886760403885,0.12313107483249976
ME,0.01337610734420589,0.04146246544320161,0.2806275959646561,0.5039418814423654,0.07455677768658082,0.08603517211899026
MK,0.013108248693552387,0.06779142992636628,0.43344487337055576,0.37151153816052057,0.09927053001264302,0.014873379836361889
MT,0.011547354042218958,0.0404957443721075,0.07858563164174621,0.7604681585707547,0.10458562944160253,0.0043174819315701315
NL,0.009359314013962396,0.0733711195003646,0.2652208652535474,0.5440901056358999,0.03579303802424298,0.07216555757198269
NO,0.013998792566980186,0.02774298352258788,0.23742308250927482,0.5457037730872764,0.06043241444193271,0.11469895387194817
PL,0.01202937159939702,0.0803577014441564,0.22544156092425696,0.49761854922172843,0.07841428653221401,0.10613853027824713
PT - Lisbon FIR,0.00648868279163602,0.015822151873912296,0.3942985259732812,0.5050556617108092,0.04786435263080094,0.030470625019560358
PT - Santa Maria FIR,0.006346627069508505,0.02954888557121676,0.13356660700326328,0.7769386510020526,0.05243005365640486,0.0011691756975539549
RO,0.006166843547799659,0.08256081853274508,0.13796087047817623,0.6582925516473805,0.09357813105141465,0.02144078474248376
RS,0.011232858638186368,0.04779985948308848,0.3235075088247774,0.49231508402200325,0.09343596401818967,0.03170872501375495
SE,0.013122905956805812,0.06267992203782141,0.22379486492352332,0.5538856241864156,0.045037734904124375,0.10147894799130948
SI,0.016835223004506714,0.053369488099581947,0.349085175341795,0.4474669997293802,0.06605713769144037,0.06718597613329566
SK,0.012826248422644161,0.07989767503093634,0.21027888024446417,0.5469152026395412,0.11093430361711995,0.03914769004529414
TR,0.0063296035189792646,0.0755522459170515,0.1027571128119746,0.7133896551770827,0.09855441868721593,0.0034169638876960125
UA,0.015660383231851774,0.0312720501388631,0.16297121242847853,0.5250940055128752,0.18024430562539756,0.08475804306253366
