iso,YEAR,CO2_t,flights,months_obs,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did,year_x,gdp_pc,air_psgr,air_freight,tourism,ets_eur
AL,2010,102262.041,10468,12,0,9.76901423385556,11.535293827363036,9.256078263650036,2.279215563712999,0,0,,,,,,14.0
AL,2011,112782.009,11471,12,0,9.831924766803244,11.633212110644616,9.347577390281268,2.2856347203633476,0,0,,,,,,13.0
AL,2012,96672.676,10264,12,0,9.418616134060796,11.479086076879593,9.236397906295473,2.2426881705841204,1,0,,,,,,7.0
AL,2013,95965.688,9956,12,0,9.638980313378866,11.471745989894746,9.205930663487482,2.2658153264072634,1,0,,,,,,4.5
AL,2014,95293.50899999999,9024,12,0,10.560007646276595,11.464716976094916,9.10764297373784,2.357074002357076,1,0,,,,,,6.0
AL,2015,101325.808,10438,12,0,9.707396819314045,11.52609642580471,9.25320827220336,2.2728881536013508,1,0,,,,,,7.7
AL,2016,112665.895,11152,12,0,10.102752421090388,11.632182036661165,9.319374133000306,2.3128079036608598,1,0,,,,,,5.4
AL,2017,128396.599,12274,12,0,10.46086027374939,11.762879182348255,9.415238482949043,2.347640699399214,1,0,,,,,,5.8
AL,2018,143871.259,12744,12,0,11.289332940991839,11.876674143948513,9.452815851589884,2.423858292358629,1,0,,,,,,15.5
AL,2019,165718.703,14251,12,0,11.628566626903377,12.018047069706451,9.564582358673212,2.453464711033239,1,0,,,,,,24.9
AL,2020,82288.131,7639,12,0,10.772107736614739,11.317982159983098,8.94102198354136,2.376960176441738,1,0,,,,,,24.8
AL,2021,166500.76679999998,13161,12,0,12.651072623660815,12.022755193797437,9.485013189834323,2.5377420039631122,1,0,,,,,,53.6
AL,2022,265728.3055,19530,12,0,13.606160035842295,12.490229657876581,9.879707023870724,2.610522634005856,1,0,,,,,,81.0
AL,2023,329391.3952,25517,12,0,12.908703813144179,12.705001973737238,10.147100175689678,2.5579017980475593,1,0,,,,,,83.0
AL,2024,476004.81882,34296,12,0,13.879310089223234,13.073183256733742,10.442784008277814,2.6303992484559298,1,0,,,,,,65.0
AL,2025,479872.11434,35057,12,0,13.688339399834554,13.081274918927374,10.464730587215707,2.6165443317116663,1,0,,,,,,74.0
AM,2010,210809.18,10326,12,0,20.415376718961845,12.258708643088237,9.242420265439595,3.0162883776486433,0,0,,,,,,14.0
AM,2011,213070.818,10470,12,0,20.350603438395414,12.269379868305949,9.256269303864583,3.0131105644413663,0,0,,,,,,13.0
AM,2012,221697.543,10749,12,0,20.62494585542841,12.309069312999013,9.282568005973063,3.026501307025949,1,0,,,,,,7.0
AM,2013,189715.83299999998,9290,12,0,20.421510548977395,12.153282615803437,9.136693831807884,3.016588783995554,1,0,,,,,,4.5
AM,2014,215092.44,10750,12,0,20.008599069767442,12.278823168194656,9.28266103355581,2.996162134638847,1,0,,,,,,6.0
AM,2015,187470.847,9462,12,0,19.813025470302264,12.141378629637254,9.155039056191093,2.98633957344616,1,0,,,,,,7.7
AM,2016,189414.863,9442,12,0,20.0608836051684,12.151694930784009,9.152923101106232,2.9987718296777777,1,0,,,,,,5.4
AM,2017,228158.248,11215,12,0,20.344025679893,12.337794737356706,9.32500744695431,3.012787290402398,1,0,,,,,,5.8
AM,2018,242468.631,12204,12,0,19.867963864306784,12.398627624291345,9.40951904583656,2.989108578454784,1,0,,,,,,15.5
AM,2019,261487.75699999998,13700,12,0,19.086697591240874,12.474142743035461,9.525151111816216,2.9489916312192443,1,0,,,,,,24.9
AM,2020,111700.522,5374,12,0,20.785359508745813,11.623576658278244,8.589327789175437,3.034248869102807,1,0,,,,,,24.8
AM,2021,223991.4634,10680,12,0,20.972983464419478,12.319363220289551,9.276128112514186,3.0432351077753648,1,0,,,,,,53.6
AM,2022,357732.004,17706,12,0,20.2039988704394,12.787539392869029,9.781658844170995,3.005880548698034,1,0,,,,,,81.0
AM,2023,476314.4159,22119,12,0,21.53417495818075,13.073833452759654,10.00419224665776,3.0696412061018936,1,0,,,,,,83.0
AM,2024,438285.57078,19830,12,0,22.102146786686838,12.990625964988885,9.89495122151384,3.0956747434750427,1,0,,,,,,65.0
AM,2025,478488.67532,21379,12,0,22.38124679919547,13.078387822552235,9.970164410800407,3.108223411751827,1,0,,,,,,74.0
AT,2010,2227096.672,192356,12,1,11.577994302231279,14.616209354367857,12.167103100831454,2.4491062535364017,0,0,2010.0,46611.1393420232,13493793.0,357.885,22004000.0,14.0
AT,2011,2312257.052,188389,12,1,12.273843228638615,14.653734684255083,12.146264253007958,2.5074704312471248,0,0,2011.0,51116.8953522042,14088251.6640568,383.371,23012000.0,13.0
AT,2012,2241121.279,182597,12,1,12.273593098462735,14.622486869569505,12.115036817654262,2.5074500519152423,1,1,2012.0,48250.4059142637,14518841.0529716,322.104,24151000.0,7.0
AT,2013,2182547.489,174126,12,1,12.534299811630659,14.596003325451152,12.067534454066333,2.5284688713848187,1,1,2013.0,50305.3545774973,15037454.0,326.399,24813000.0,4.5
AT,2014,2316483.753,173826,12,1,13.32645146871009,14.655560970216143,12.065810077863082,2.5897508923530617,1,1,2014.0,51314.9722616322,15210489.0,369.955,25291000.0,6.0
AT,2015,2397754.587,171063,12,1,14.016792567650514,14.690043268631847,12.049787188687057,2.640256079944789,1,1,2015.0,43915.228020857,14718641.0,351.379,26728000.0,7.7
AT,2016,2451896.534,168808,12,1,14.524765022984692,14.712372378573713,12.036517253385894,2.675855125187821,1,1,2016.0,45061.4993920192,14724774.0,387.739,28121000.0,5.4
AT,2017,2476655.767,169952,12,1,14.572677973780833,14.722419727074021,12.043271323222125,2.679148403851896,1,1,2017.0,47163.7425775142,16171640.0,391.268,29460000.0,5.8
AT,2018,2742047.691,177776,12,1,15.424172503600037,14.824215531732138,12.08827960982379,2.735935921908348,1,1,2018.0,51194.0749841299,12935505.0,373.511,30816000.0,15.5
AT,2019,3114972.593,190007,12,1,16.39398860568295,14.95173091177012,12.154816192569232,2.7969147192008883,1,1,2019.0,49885.9947355204,46476602.0,320.036527,31884000.0,24.9
AT,2020,1075664.707,82773,12,1,12.99535726625832,13.888449360548401,11.323857200238917,2.5645921603094846,1,1,2020.0,48716.4098900349,13285414.0,74.560823,15091000.0,24.8
AT,2021,1265445.4181,94450,12,1,13.398045718369506,14.050934727337832,11.455825872929656,2.5951088544081764,1,1,2021.0,53648.6437976214,18901048.0,125.155714,,53.6
AT,2022,2153845.11245,144548,12,1,14.90055284369206,14.582765227172468,11.881366911305882,2.7013983158665855,1,1,2022.0,52336.7725223758,40099423.0,205.311831,,81.0
AT,2023,2568628.77945,159976,12,1,16.056338322310847,14.758882765631425,11.98277908296484,2.7761036826665855,1,1,2023.0,56579.504175468,46040215.0,207.835176,,83.0
AT,2024,2798294.35414,166089,12,1,16.84816185382536,14.844520630296849,12.020279068242841,2.8242415620540084,1,1,2024.0,58268.8787651601,,,,65.0
AT,2025,3043969.56564,169909,12,1,17.91529327840197,14.928672999766556,12.043018278593708,2.8856547211728496,1,1,,,,,,74.0
BA,2010,43418.049,6901,12,0,6.291559049413128,10.678630509212255,8.839421607620602,1.839208901591652,0,0,,,,,,14.0
BA,2011,38847.29,6225,12,0,6.240528514056225,10.567393597893012,8.736328721332908,1.8310648765601039,0,0,,,,,,13.0
BA,2012,36310.829,5784,12,0,6.277805843706777,10.49987129532374,8.6628507638386,1.837020531485138,1,0,,,,,,7.0
BA,2013,44523.611,6175,12,0,7.210301376518218,10.70377491171393,8.728264161496178,1.975510750217753,1,0,,,,,,4.5
BA,2014,52852.594,7189,12,0,7.3518700792878,10.875262072402307,8.880307358983872,1.994954713418435,1,0,,,,,,6.0
BA,2015,66523.64199999999,7149,12,0,9.30530731570849,11.105312682259104,8.874727765766853,2.230584916492253,1,0,,,,,,7.7
BA,2016,78061.121,7210,12,0,10.826785159500693,11.265247401379634,8.883224230278994,2.382023171100639,1,0,,,,,,5.4
BA,2017,95963.677,8476,12,0,11.321811821613968,11.471725034268701,9.04499391938819,2.4267311148805106,1,0,,,,,,5.8
BA,2018,107018.576,8898,12,0,12.027261856596988,11.580757705852644,9.093581811365986,2.4871758944866578,1,0,,,,,,15.5
BA,2019,118823.819,9695,12,0,12.25619587416194,11.685397162446915,9.179365567676752,2.506031594770162,1,0,,,,,,24.9
BA,2020,41392.23,4310,12,0,9.6037656612529,10.630848461039673,8.368693183097793,2.262155277941879,1,0,,,,,,24.8
BA,2021,94508.23515,7729,12,0,12.227744229525165,11.456442254129422,8.952734767106872,2.503707487022551,1,0,,,,,,53.6
BA,2022,134164.2126,10922,12,0,12.283850265519135,11.806819795825236,9.298534382712099,2.5082854131131365,1,0,,,,,,81.0
BA,2023,132878.66825,10819,12,0,12.281973218412052,11.797191722036473,9.289059126687574,2.508132595348899,1,0,,,,,,83.0
BA,2024,138989.7018,11327,12,0,12.270654348018011,11.84215512159841,9.334944535200714,2.507210586397697,1,0,,,,,,65.0
BA,2025,163024.49634,13515,12,0,12.062485855715872,12.001655752791825,9.511555458710548,2.4901002940812766,1,0,,,,,,74.0
BE,2010,4060758.267,158071,12,1,25.68945769306198,15.21688027941039,11.970799578162557,3.2460807012478314,0,0,2010.0,44197.393671162,7528586.30424955,1067.351,7186000.0,14.0
BE,2011,4213767.172,164849,12,1,25.561375392025433,15.253867620752006,12.012785182360762,3.2410824383912438,0,0,2011.0,47760.8298776546,8638553.1,1241.293,7494000.0,13.0
BE,2012,3876109.65,159128,12,1,24.3584388039817,15.170342541066338,11.977464188784896,3.1928783522814417,1,1,2012.0,44874.1709182123,9508165.31494536,1369.89982037629,7560000.0,7.0
BE,2013,3650648.388,155655,12,1,23.453460460634094,15.110415350330406,11.955397298707489,3.155018051622917,1,1,2013.0,46964.5946777056,9521421.0,1560.81076,7684000.0,4.5
BE,2014,3858340.733,161666,12,1,23.86612356958173,15.165747787106795,11.993287757531668,3.172460029575128,1,1,2014.0,47995.7786961339,10535219.0,1596.3044,7887000.0,6.0
