country,year,month,airfare_index,source
BE,2014,12,99.93,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,1,99.73,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,2,101.32,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,3,100.11,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,4,99.76,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,5,101.12,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,6,99.7,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,7,99.05,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,8,99.07,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,9,99.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,10,99.97,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,11,100.12,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2015,12,100.58,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,1,100.69,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,2,102.2,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,3,101.66,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,4,100.61,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,5,101.4,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,6,100.59,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,7,101.0,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BE,2016,8,100.58,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
