unit,att_classic,att_aug,ridge_lam,rmspe_pre,rmspe_post,rmspe_ratio,n_pre,pre_mse,weights_json
AT,-0.2001271232241005,-0.03744715573090416,0.01,0.15586280433667815,0.236049992031549,1.5144728919522008,23,0.5590269514478698,"{'TR': 0.6949, 'XK': 0.3051}"
BE,-0.32457124443967017,-0.05995370543926035,0.01,0.18071606941910778,0.3536904571816038,1.9571610776977577,23,0.7516580270507325,"{'TR': 0.8276, 'XK': 0.1724}"
BG,-0.14651470519345863,-0.06016534976299711,0.01,0.10389073220618161,0.20683366139156376,1.990876924238839,23,0.2483996549685869,"{'ME': 0.6034, 'TR': 0.3966}"
CH,-0.19774107641064168,-0.028211111319023718,0.01,0.1918503235459278,0.2569366987998108,1.339256009846143,23,0.8472085066411569,"{'TR': 0.8478, 'XK': 0.1522}"
CY,-0.43586433817715103,-0.2849043796990207,0.01,0.09599798941396057,0.47609026173264324,4.9593774269548145,23,0.21195949230622524,"{'BA': 0.0143, 'MC': 0.1559, 'ME': 0.115, 'TR': 0.7149}"
CZ,-0.2755056236027432,-0.22275044105270891,0.01,0.04433231389622433,0.29496243453976456,6.653440991828892,23,0.04520573110390144,"{'BA': 0.0948, 'RS': 0.1176, 'TR': 0.5219, 'XK': 0.2656}"
DE,-0.3652229258978068,-0.06856847403318213,0.01,0.18412324653457404,0.4013181866814258,2.1796171544589167,23,31.50566520491378,{'TR': 1.0}
DK,-0.1676196606441082,-0.038914634380031544,0.01,0.14200139530847314,0.2122769761116818,1.4948935934787633,23,0.46407513817631174,"{'TR': 0.7148, 'XK': 0.2852}"
EL,-0.3313378671129517,-0.06787291975174432,0.01,0.2450961197503747,0.5150346502797959,2.1013578297540896,23,1.3867361687985382,"{'ME': 0.2513, 'TR': 0.7487}"
ES,-0.3321728844920611,-0.06583034200029714,0.01,0.134042778923585,0.34677611287047644,2.5870555329814993,23,10.521995805938475,{'TR': 1.0}
FI,-0.2391119999907584,-0.05679505730060789,0.01,0.20556233306851254,0.31461961171645203,1.5305314306371072,23,0.9722069083735265,"{'RS': 0.1472, 'TR': 0.6488, 'XK': 0.204}"
FR,-0.3360723514747949,-0.06067311784071392,0.01,0.18021783732695923,0.3739477022617695,2.074976083434721,23,14.918392079384201,{'TR': 1.0}
