unit,att_classic,att_aug,ridge_lam,rmspe_pre,rmspe_post,rmspe_ratio,n_pre,pre_mse,is_treated
AL,-0.15875603446214995,-0.09515109542482776,0.01,0.08377958347880295,0.19299987359554713,2.3036623671491276,23,0.1614375391764344,False
AM,-0.39973986126368705,-0.3049043739577478,0.01,0.059836191248734225,0.46508267809707876,7.772598295298702,23,0.08235067413782073,False
BA,0.27914710966211503,0.20752216585952854,0.01,0.10070146326564937,0.45484699859841454,4.516786388679707,23,0.2333142422569156,False
MC,-0.00718879601977974,-0.048827553069873963,0.01,0.42234712794946844,0.6414759774921651,1.5188358936086201,23,648.0821923221706,False
MD,0.3416250891285866,0.3435921158030486,0.01,0.06546691662225666,0.4034682563200274,6.162933541654856,23,0.09865017355899347,False
ME,-0.34968130570289463,-0.11045891312734746,0.01,0.3314612242361767,0.5636735082009093,1.7005714906769125,23,2.527051416820236,False
MK,0.3804395269130118,0.29582146091527123,0.01,0.07371304900504091,0.432531166595587,5.867769308606514,23,0.12507695733357463,False
RS,-0.02406315275076378,-0.014125592823130905,0.01,0.07178982900803214,0.1072161652227859,1.4934729153734314,23,0.11853730480270044,False
TR,-0.011333922629412943,-0.014668996461335257,0.01,0.11409017268287418,0.12912165355830943,1.131750881973129,23,316.6006424183587,False
XK,-0.12801236405601454,-0.08714571761884932,0.01,0.0761220702576662,0.20423485426052926,2.6829913265523797,23,0.13327959620797739,False
AT,-0.2001271232241005,-0.03744715573090416,0.01,0.15586280433667815,0.236049992031549,1.5144728919522008,23,0.5590269514478698,True
BE,-0.32457124443967017,-0.05995370543926035,0.01,0.18071606941910778,0.3536904571816038,1.9571610776977577,23,0.7516580270507325,True
BG,-0.14651470519345863,-0.06016534976299711,0.01,0.10389073220618161,0.20683366139156376,1.990876924238839,23,0.2483996549685869,True
CH,-0.19774107641064168,-0.028211111319023718,0.01,0.1918503235459278,0.2569366987998108,1.339256009846143,23,0.8472085066411569,True
CY,-0.43586433817715103,-0.2849043796990207,0.01,0.09599798941396057,0.47609026173264324,4.9593774269548145,23,0.21195949230622524,True
CZ,-0.2755056236027432,-0.22275044105270891,0.01,0.04433231389622433,0.29496243453976456,6.653440991828892,23,0.04520573110390144,True
DE,-0.3652229258978068,-0.06856847403318213,0.01,0.18412324653457404,0.4013181866814258,2.1796171544589167,23,31.50566520491378,True
DK,-0.1676196606441082,-0.038914634380031544,0.01,0.14200139530847314,0.2122769761116818,1.4948935934787633,23,0.46407513817631174,True
EL,-0.3313378671129517,-0.06787291975174432,0.01,0.2450961197503747,0.5150346502797959,2.1013578297540896,23,1.3867361687985382,True
ES,-0.3321728844920611,-0.06583034200029714,0.01,0.134042778923585,0.34677611287047644,2.5870555329814993,23,10.521995805938475,True
FI,-0.2391119999907584,-0.05679505730060789,0.01,0.20556233306851254,0.31461961171645203,1.5305314306371072,23,0.9722069083735265,True
FR,-0.3360723514747949,-0.06067311784071392,0.01,0.18021783732695923,0.3739477022617695,2.074976083434721,23,14.918392079384201,True
GB,-0.29994868993464024,-0.05157204523514116,0.01,0.1714267552269327,0.33354059023394395,1.9456740564937303,23,37.10227436460243,True
HR,0.01982353763779456,-0.00017253325383279985,0.01,0.20662938501923359,0.23561802362188228,1.1402929142916935,23,0.9827634138532422,True
HU,-0.22451804558393365,-0.10175431192104743,0.01,0.06758097852771965,0.253527640803251,3.75146448492547,23,0.10505307142144708,True
IE,-0.04532575080931397,-0.0004518445285945927,0.01,0.10884924014432551,0.1198676778216037,1.1012265925115197,23,0.27261423412959734,True
IS,0.2558015001503179,0.15879082765371152,0.01,0.1314507767864933,0.36699208150216633,2.7918593596312253,23,0.39742591303893593,True
IT,-0.3545395370347985,-0.057333737132703365,0.01,0.15108876338795693,0.36999889632005983,2.4488842718898836,23,2.942250952596448,True
LT,0.1360082419429309,0.04530082492410279,0.01,0.101791277131121,0.19086601004283063,1.8750723580859414,23,0.23831524586614777,True
LU,-0.07582235678106809,-0.012883759785454729,0.01,0.19071793815735774,0.2142664413944957,1.1234729331947189,23,0.8369199920454149,True
MT,-0.21466088449284434,-0.1321150271720831,0.01,0.07432923493708721,0.24081909568364823,3.2398974089734573,23,0.1270715961407528,True
NL,-0.2944647980795972,-0.05238593647184678,0.01,0.17926605929211328,0.33447244124090625,1.8657878828913443,23,0.8508603418906298,True
NO,-0.15986989714197022,-0.046921339311486156,0.01,0.1485278691175157,0.22734898123325628,1.5306823061830712,23,0.5075758200202235,True
PL,0.01440241527412156,0.013647587894464047,0.01,0.06283141589387096,0.11082267496113202,1.763809925091032,23,0.09082549983070577,True
PT,-0.09532653814570356,-0.012207966966813996,0.01,0.0977695144987929,0.12074781896373271,1.2350252487468731,23,0.22001860484379943,True
RO,-0.013464043375151225,0.004355230287972209,0.01,0.10678556049817549,0.13465439720565292,1.2609794486957213,23,0.2623459369023316,True
SE,-0.23483422452060534,-0.057707301836990944,0.01,0.19335961258898046,0.2942418291267463,1.5217336505126775,23,0.860247041755895,True
SI,-0.46223258266019096,-0.39284914985757413,0.01,0.07318447977985122,0.5608389207879416,7.663358713145474,23,0.12318796954993926,True
SK,-0.24017486710817293,-0.15402496690565198,0.01,0.10135887488816188,0.2755289413013484,2.71835043162588,23,0.23629439779693776,True
